RecID,idtruth
A971940,669
A991474,430
A991673,340
A908482,1429
A917458,1202
A942132,640
A961069,1202
A979147,1202
A981423,1430
A997477,640
A923369,1431
A929121,468
A942210,1432
A944645,468
A913583,468
A938419,468
A939819,858
A941957,468
A967137,858
A986291,1433
A992126,858
A933276,896
A937797,1434
A943943,896
A997910,896
A913592,1435
A919096,1436
A949178,1204
A953131,1204
A961387,1320
A969532,1320
A993315,1204
A997659,1320
A950699,1437
A962379,1438
A963334,1439
A975745,768
A978248,768
A988924,1440
A922943,768
A964249,1441
A981419,1442
A904758,1443
A930348,414
A939278,414
A986921,1444
A910561,119
A926624,119
A935695,774
A944226,774
A961935,226
A967158,1445
A987435,226
A991023,774
A922459,122
A928018,1446
A947377,900
A947761,900
A949388,1447
A952078,900
A971707,122
A923076,1245
A927050,118
A929052,1245
A937397,118
A952707,1448
A953196,1245
A977140,1449
A982643,1450
A919680,146
A927105,1337
A942843,146
A957850,1009
A960431,1337
A968043,1009
A972277,1337
A980647,1009
A906829,1059
A937635,345
A939109,1451
A956340,345
A959692,1452
A962495,1059
A967164,1059
A905600,1453
A923538,1454
A970890,1455
A907505,162
A950051,162
A953512,246
A982301,1456
A997080,246
A913076,1457
A917011,690
A976130,690
A920955,1280
A921406,1280
A937142,1280
A957032,1458
A958749,1263
A961499,1263
A993003,1459
A998819,1263
A933636,38
A945620,629
A964631,629
A970731,38
A916510,1164
A952348,1164
A980781,229
A982972,229
A989482,909
A991195,1164
A992749,909
A996492,909
A922175,234
A924282,1460
A934764,234
A988521,1461
A913537,1225
A921250,457
A951268,1225
A956221,1462
A976570,1463
A986176,457
A995145,1225
A923837,1464
A935232,1465
A938913,141
A987498,1466
A996763,141
A921673,1017
A944100,1017
A968125,717
A975664,1467
A978800,717
A985875,1468
A987930,1017
A936671,1469
A940511,1470
A956873,72
A978662,72
A979304,1471
A935383,791
A968599,1472
A972802,1473
A985446,791
A989110,791
A915213,791
A979747,791
A984432,1474
A987351,1475
A933568,1066
A974660,1066
A980655,1066
A935015,915
A954233,915
A959201,915
A949062,1476
A949108,30
A956368,30
A993890,1477
A917573,738
A924376,1478
A934684,241
A940358,738
A954248,738
A976708,241
A979829,1479
A936810,1374
A938446,1374
A958427,1374
A967987,1370
A970773,1370
A974295,1370
A913715,1019
A914010,1019
A942826,1480
A948913,1481
A958292,487
A983512,1019
A990679,487
A998603,511
A919080,1482
A950490,1483
A984843,694
A990838,694
A998869,1484
A927295,1485
A935283,264
A939854,1486
A953160,264
A977550,1487
A915157,1215
A927684,81
A939292,1488
A950497,1215
A963478,81
A966176,1489
A971943,1215
A961660,1151
A979465,1151
A982747,1151
A989235,1490
A911730,655
A941723,655
A906942,969
A919665,1491
A957282,194
A972829,969
A991401,969
A998914,194
A918292,1492
A944466,1493
A935904,1494
A995404,1495
A922383,807
A929523,1496
A935754,807
A945302,1137
A956053,807
A959253,1137
A971201,807
A972583,236
A987321,1137
A987392,807
A990943,236
A914922,1217
A937171,1497
A949154,1217
A953190,1217
A909199,1498
A938311,1499
A976487,300
A995174,300
A918429,1500
A941783,1318
A925689,1318
A953429,1318
A968909,1501
A990227,1502
A909924,1503
A917124,1504
A942334,1505
A923732,935
A927339,935
A934244,1506
A937005,935
A931022,1507
A942281,1508
A964929,1509
A996880,1510
A912356,1096
A918602,854
A921322,854
A956865,1511
A964208,854
A994027,1096
A994316,1096
A905153,1512
A907424,1513
A911772,1514
A927634,1515
A987118,1516
A908334,759
A911498,1335
A925808,1517
A931754,759
A952559,1335
A977764,1335
A979022,759
A934070,1518
A928313,40
A928554,540
A959088,40
A962905,540
A972210,540
A979946,540
A944378,1519
A920864,1520
A951672,148
A961883,1521
A973802,148
A926308,753
A946460,753
A950517,753
A924279,859
A938973,859
A965319,1522
A971833,859
A998913,1523
A914597,1524
A932829,1525
A937848,1221
A942141,1346
A946772,1221
A956987,1221
A963623,1346
A996678,1346
A907249,1161
A912703,331
A916162,1526
A935098,331
A936759,331
A971305,1527
A972322,1161
A990216,331
A997623,1161
A905978,862
A938019,862
A942752,948
A948338,862
A962327,948
A963619,948
A964107,948
A986463,1528
A993758,948
A925454,766
A941111,766
A960270,1529
A977525,766
A918089,1530
A955444,595
A955968,595
A979279,1531
A983919,1532
A927649,270
A933528,270
A974612,1533
A997308,1534
A920447,524
A920507,1210
A929481,951
A929543,1535
A946254,1210
A950092,1536
A951699,1210
A959394,951
A960948,524
A976322,951
A908231,1030
A928618,558
A940743,558
A945237,1030
A957192,1210
A982573,1030
A936547,822
A942968,822
A955770,822
A927962,588
A964975,588
A968159,1537
A981895,1538
A939125,1278
A947892,293
A953249,1539
A978136,1278
A978409,293
A989772,1278
A993358,1278
A982100,1540
A994111,1541
A905966,1542
A944217,1543
A967450,127
A984119,127
A987111,302
A993686,302
A997226,1544
A970011,1545
A907384,1546
A951123,1373
A951194,152
A957637,1373
A965723,152
A993628,1373
A911367,419
A914474,419
A919619,419
A963610,419
A914374,1547
A916845,1548
A945724,1549
A961996,1550
A972013,1551
A993768,1552
A997341,1553
A938120,1060
A948752,1060
A965106,1060
A969596,1554
A979557,323
A992868,323
A912159,1292
A922996,1292
A925429,1292
A929566,1247
A931270,1247
A942264,1555
A974058,1247
A909165,1556
A939201,560
A940143,560
A930333,1557
A985621,1558
A928545,449
A931567,1559
A939595,1560
A953398,584
A985212,584
A987305,449
A904877,1561
A912789,439
A922045,439
A941210,1562
A962473,1563
A913178,450
A921763,311
A927337,311
A993848,450
A948046,467
A951785,467
A966278,1564
A908670,117
A925611,117
A913670,254
A958596,1565
A974757,254
A949787,643
A950312,643
A991481,643
A997206,643
A928973,366
A973370,1566
A981211,1567
A982857,1568
A988738,1569
A994679,1570
A912438,800
A915148,800
A917847,800
A964552,800
A987199,366
A990888,1571
A921739,835
A927884,1572
A948379,835
A952068,585
A958515,585
A976273,835
A908266,1573
A908643,283
A927028,283
A968158,585
A982940,585
A913926,601
A927616,477
A941093,1574
A945606,1183
A951638,477
A958666,116
A960925,1183
A969030,601
A989767,1183
A994594,116
A935204,1575
A947374,572
A960094,572
A990977,1576
A917769,927
A946597,1577
A981277,927
A990007,1578
A914297,927
A963929,927
A974033,927
A995288,1579
A940000,290
A946956,802
A950568,108
A961224,1580
A968834,1581
A969830,290
A972283,802
A975103,802
A988103,1582
A950846,1583
A965630,108
A998949,1584
A910960,1187
A923293,105
A924730,105
A933030,1585
A948983,105
A951919,1187
A965894,1586
A974705,1187
A910126,105
A911526,105
A915367,1138
A917007,105
A926444,105
A938887,523
A942546,1587
A942868,209
A949516,105
A949928,105
A966828,1138
A967592,105
A969937,105
A972043,209
A976823,1138
A980258,1588
A988486,105
A932567,1589
A967948,125
A980783,125
A912864,1590
A927926,1591
A969304,1592
A910303,1593
A938680,646
A963578,1236
A965675,646
A915742,1216
A925911,1236
A930917,1216
A935721,1216
A945754,378
A957628,1236
A975645,1236
A975727,378
A914483,855
A946234,855
A965368,855
A968536,1594
A904697,1595
A934068,855
A956944,855
A910577,1596
A961170,1597
A980725,1598
A912279,113
A929449,113
A909202,860
A916773,860
A922655,712
A944515,860
A952605,712
A976765,712
A984198,712
A997399,712
A906178,712
A942904,1103
A957600,712
A969218,1599
A972704,1103
A979481,1103
A984269,712
A993709,712
A942111,1254
A963268,1254
A965279,1142
A970690,1142
A975350,1142
A991878,1254
A997288,1600
A907671,865
A921690,1601
A926502,865
A946132,1602
A970913,865
A907771,1603
A916368,1604
A924329,1605
A931780,1606
A944274,727
A975507,1607
A981183,1608
A993660,727
A919267,704
A933472,704
A939785,1609
A922614,1610
A938443,1611
A978813,1612
A986752,1613
A963942,1614
A967610,1615
A985793,1616
A996435,1617
A922562,678
A922752,593
A935604,593
A945504,1618
A998213,678
A925037,1619
A936530,1177
A939452,1177
A986860,1177
A923472,1620
A936407,464
A943359,269
A947980,269
A961113,464
A974915,1621
A914024,905
A942272,1622
A984023,905
A988045,905
A981120,547
A987889,547
A914865,1008
A950871,1008
A951184,1008
A938442,85
A968510,96
A974000,85
A988483,96
A944386,1623
A949027,1624
A966147,250
A977930,250
A981200,1625
A934739,950
A973440,950
A987384,950
A913353,25
A920423,25
A927186,245
A969463,245
A955220,1626
A927866,825
A936680,1277
A940523,1277
A945341,1277
A949877,825
A963641,825
A920907,1627
A962876,1
A986421,825
A986527,1628
A988915,825
A989136,1629
A994561,1
A908041,53
A920725,658
A921017,667
A924291,658
A932413,667
A995470,53
A935144,1630
A936211,1631
A910195,13
A924822,13
A930039,233
A941514,233
A977641,1632
A943522,1633
A944644,1268
A948218,1194
A961440,1268
A963831,1268
A975906,1194
A998466,1194
A921287,1634
A933573,1281
A955608,1281
A983811,1281
A906202,1302
A911354,1302
A969303,1302
A974837,1635
A994703,1636
A942480,1637
A982251,367
A990121,367
A922880,513
A989279,513
A943657,1638
A957378,1064
A986928,1064
A991536,1064
A917230,1038
A949303,1038
A971522,1038
A933021,872
A947347,1639
A973969,872
A982770,872
A915456,1640
A952931,1641
A912186,877
A915560,877
A935651,723
A946073,208
A952552,723
A990431,208
A993309,877
A998135,1642
A917874,1643
A922324,1644
A945007,877
A953519,1018
A954979,190
A975783,1018
A981204,1645
A988133,190
A993086,1018
A939023,1646
A944985,580
A987400,580
A911688,322
A919755,687
A926365,1647
A956008,687
A960241,322
A912451,920
A913427,920
A918853,920
A940459,1648
A983196,1649
A911817,559
A930790,1650
A953583,1651
A988223,1652
A990458,559
A917968,1653
A925775,1654
A946194,487
A967673,487
A909129,1655
A923018,1656
A945977,1657
A957630,1658
A982406,1659
A909296,1660
A916914,989
A974060,989
A978889,989
A912919,792
A924699,995
A936948,792
A967362,1661
A970600,995
A989122,995
A907840,1662
A937273,792
A973978,848
A987923,848
A990234,848
A921740,1214
A934329,402
A950230,1214
A951239,1663
A973686,1214
A992366,402
A912161,1664
A946457,1233
A964903,1233
A974834,1665
A997545,1233
A915036,1666
A926481,501
A957401,501
A959526,1667
A966857,199
A986558,199
A919913,1668
A970745,1377
A975036,1377
A977533,1377
A933364,1133
A944814,1133
A945849,1133
A908180,748
A928569,1669
A928854,748
A949004,748
A961396,748
A926355,1078
A934634,1670
A979992,1078
A992244,1078
A957356,1671
A910463,1115
A914090,1115
A916488,1672
A935394,1115
A945298,1115
A948988,1115
A951353,1115
A956399,1673
A963660,1674
A976194,1115
A993157,1341
A926438,1341
A954066,1341
A979342,1675
A985074,1676
A919447,811
A924385,811
A925664,1677
A930080,811
A942399,1334
A951863,1334
A954753,1334
A955253,811
A961284,811
A964280,811
A909663,1116
A911943,79
A916642,79
A935542,1156
A935820,1156
A956181,1116
A975037,1678
A982020,1116
A984143,1156
A943720,1679
A969468,1680
A969640,489
A979354,489
A906213,407
A908818,1681
A941936,407
A911153,1371
A923913,313
A936036,1682
A938945,313
A948394,28
A956409,1683
A973143,1371
A973552,1684
A986401,1371
A987212,28
A907499,1685
A926181,62
A946443,62
A949502,1686
A966957,1687
A931407,818
A946683,818
A968988,818
A936787,765
A970737,765
A972804,765
A979497,1688
A941220,943
A942473,943
A951787,1689
A986640,943
A919041,1690
A961597,1261
A961897,1691
A962380,1261
A962861,397
A963254,1692
A971494,1261
A973814,397
A982745,1693
A985086,1694
A934032,1695
A948272,1696
A953055,1697
A983254,1698
A910025,132
A922747,101
A935662,132
A942167,553
A954716,553
A965944,1699
A978518,1700
A978727,1701
A979602,101
A996959,1702
A909028,1703
A910815,1704
A937090,770
A956180,770
A971887,770
A974416,1705
A953969,1279
A961150,1706
A993896,1279
A996626,1279
A913342,27
A927525,1707
A961273,27
A910852,1241
A911998,1241
A997344,1241
A907042,1121
A922632,1121
A974210,1121
A987128,1708
A905041,1709
A964355,1710
A917828,641
A928821,1013
A943496,68
A962793,641
A969262,1711
A974874,68
A975931,1712
A985637,641
A989734,1013
A992387,1013
A905547,641
A912900,641
A980501,641
A936324,777
A953271,777
A983080,777
A907656,1005
A936628,1005
A951432,308
A971251,1005
A982230,1713
A987428,308
A911420,1124
A977992,1714
A998559,1124
A938219,1715
A953077,1716
A967554,1124
A984534,1124
A987132,1124
A906433,1304
A919864,1304
A954755,1304
A923069,1717
A938592,1349
A948545,787
A956851,787
A957885,1349
A974348,1349
A996291,787
A996746,1718
A922314,823
A927452,1719
A928896,1040
A934885,823
A936208,1040
A941956,1040
A943051,1040
A952468,823
A955882,1720
A968082,456
A976845,1721
A983667,456
A994054,1040
A913011,1722
A935456,1148
A954322,1148
A965695,1723
A972426,1148
A979913,1724
A947420,1725
A947912,1726
A980259,1727
A983435,1728
A937355,1729
A949321,1730
A951977,1731
A963015,153
A969693,1732
A976000,1733
A985346,153
A919591,582
A938039,957
A941698,582
A964133,957
A976234,1734
A986451,957
A922442,1041
A927282,1041
A943907,1041
A949268,1735
A961573,325
A968264,325
A986753,1736
A915363,685
A934575,685
A988362,1737
A942675,1738
A943567,1739
A985180,1740
A982571,1741
A992190,1742
A905773,1743
A935300,1744
A966558,1745
A945136,1746
A978333,1747
A992279,1748
A941249,1749
A958235,1750
A911306,1751
A914011,171
A929361,1752
A941276,171
A914097,1358
A941996,1358
A968918,1358
A984486,309
A984614,309
A948850,1753
A953230,666
A956026,666
A975653,1754
A905817,962
A906150,1170
A914838,1170
A931940,474
A935680,962
A944292,474
A944661,1170
A954526,962
A970329,962
A982264,962
A997141,1755
A909014,1252
A913345,1252
A917190,1252
A936915,1252
A973647,1252
A974575,1252
A989382,1756
A990993,1252
A987606,1757
A996100,1758
A910060,1759
A917666,600
A924644,1760
A933034,600
A934632,600
A962614,600
A963029,1761
A967570,1762
A976533,600
A928673,1383
A928731,1383
A997796,1383
A918181,1763
A934412,343
A997791,343
A911548,218
A920309,1764
A922114,1765
A923977,218
A925575,1766
A928237,1767
A978393,1768
A936521,238
A956596,1186
A961115,1186
A961635,238
A989989,1186
A991138,1186
A997306,1186
A984790,1769
A942706,1770
A951559,1273
A965943,1273
A913398,1771
A945907,1273
A994415,1273
A917174,1772
A976857,1773
A989633,1774
A975310,1775
A921090,1219
A936064,1219
A939394,1055
A956938,1776
A965773,1055
A966007,1097
A971523,1055
A971560,642
A973341,1097
A977935,1219
A978379,1097
A982936,642
A995474,1777
A942973,1051
A977665,1051
A978782,1051
A992801,1778
A926791,1779
A929882,1780
A983822,1781
A908205,1782
A917797,1783
A930003,1784
A911968,548
A965056,1785
A977664,548
A977130,1786
A937401,1787
A947802,672
A994865,672
A917141,555
A933888,126
A959245,126
A973625,1788
A996477,1789
A909989,555
A924283,284
A925353,555
A934605,555
A934912,555
A945110,284
A965872,1790
A970237,555
A975877,555
A978837,555
A981680,555
A982284,1791
A994071,1792
A914361,1793
A918676,1101
A928351,1101
A967825,1101
A976400,1794
A992645,1795
A909194,903
A910964,903
A927785,491
A944286,701
A944532,1796
A967424,491
A972613,701
A977962,1797
A992837,1798
A997597,903
A905748,821
A919073,1799
A925503,821
A947517,1800
A963448,1801
A967526,1802
A983176,821
A989619,1803
A910008,977
A920520,977
A930536,1804
A938278,977
A941101,977
A991208,977
A908576,1805
A909994,1190
A926913,1190
A929267,1806
A948820,1190
A908732,1260
A924083,1807
A935740,1260
A935932,1260
A946777,1808
A971028,1260
A964646,1276
A965235,1276
A988717,1276
A939146,1809
A941433,535
A954275,535
A960954,1810
A970136,1811
A973225,1812
A956674,1813
A961401,364
A962680,364
A948801,1814
A958456,1815
A995709,1816
A929630,82
A958199,95
A962612,1817
A971993,82
A988515,95
A994339,1818
A923941,1819
A943906,1820
A948209,1821
A993552,1822
A938271,1163
A951630,1193
A964322,1193
A970184,1163
A983954,1163
A988662,1193
A906820,1823
A963960,1824
A956035,631
A959251,1825
A969043,631
A941375,1826
A944711,1827
A914381,1108
A957358,1828
A961776,1829
A966023,1108
A974216,1108
A936406,1830
A986895,1831
A908429,219
A909635,219
A914725,1832
A917631,219
A950927,219
A938595,1833
A949856,879
A952953,534
A969439,1834
A988115,534
A994843,879
A935302,879
A943687,1835
A946718,1061
A957833,1061
A977207,1061
A982379,879
A911645,789
A920900,1836
A935869,789
A937491,1837
A942391,789
A971007,789
A972684,789
A909864,958
A913118,958
A914707,1838
A929797,329
A930256,569
A932778,1839
A956389,1840
A956484,958
A964900,958
A981579,1841
A990513,958
A992988,329
A998058,569
A914448,838
A952959,1842
A955630,838
A959852,1843
A991055,838
A922388,1844
A925789,1130
A944216,1130
A952766,1845
A984490,1130
A947336,1846
A924429,1847
A926962,278
A966334,278
A986693,278
A998711,278
A923673,346
A931590,1848
A933059,1849
A982080,346
A923305,273
A936024,1850
A941776,1851
A945881,1852
A962255,1853
A977247,1854
A979571,1855
A984532,273
A996299,1856
A911006,437
A925627,437
A930695,437
A938761,437
A972707,437
A978507,1857
A981378,437
A915340,556
A915614,29
A916073,1092
A929934,1294
A948278,1092
A958492,1858
A971192,1092
A977177,1294
A981869,1294
A982799,1092
A986874,1092
A987154,556
A998554,29
A921163,1316
A944526,1859
A968261,1316
A981597,1316
A905663,1860
A934905,1861
A964324,445
A984003,445
A916975,445
A949716,255
A964153,255
A974796,445
A983241,445
A914585,1862
A926266,917
A937529,917
A937922,917
A970860,1863
A980804,1864
A988827,1865
A989780,1866
A907131,917
A910936,917
A933321,1867
A963863,1868
A962095,1869
A979918,1870
A920810,676
A951196,1317
A985110,1871
A986959,1317
A988790,1317
A992180,500
A994342,676
A998890,500
A952094,1872
A912203,1873
A938753,1351
A950928,1351
A982549,1351
A932789,1874
A943878,889
A953815,889
A974039,889
A981565,889
A987479,889
A918828,222
A935980,889
A937724,1875
A952984,889
A989955,222
A905562,996
A915843,996
A930198,2
A937189,996
A958776,2
A974894,2
A989752,996
A946184,1876
A946721,2
A951561,1877
A910004,1376
A961198,84
A971790,1376
A975365,84
A981914,1376
A909666,752
A916612,752
A924215,557
A946260,1878
A968451,1879
A974596,1880
A978807,557
A994079,752
A911662,1053
A915178,1053
A950421,1881
A984041,1053
A996718,1882
A923657,1883
A924278,568
A927191,1884
A980674,568
A904735,1885
A931268,427
A958216,1886
A963332,427
A966439,1887
A978494,1888
A906267,1889
A914739,1344
A932556,128
A940483,1890
A952930,1891
A960092,213
A961899,128
A971345,1344
A973613,195
A982324,1892
A994202,1344
A994393,213
A994945,195
A932802,1056
A941050,1056
A948418,1056
A962196,1056
A981052,1893
A990876,895
A990894,895
A994768,895
A997756,1894
A922558,1895
A954117,636
A964720,636
A979964,1896
A930024,1897
A935248,999
A939985,999
A944282,1218
A960515,1218
A960836,999
A966731,77
A989485,1218
A993958,77
A917114,1898
A953995,772
A956152,772
A976231,772
A983717,772
A989376,772
A995577,772
A908528,1345
A923776,1899
A923809,1345
A942129,1900
A976749,1345
A977233,1901
A909768,684
A919898,1902
A951473,1903
A969654,316
A977160,316
A983223,684
A905823,86
A933648,728
A957397,728
A958583,1904
A964525,86
A976176,1905
A998672,1906
A916321,1907
A937269,18
A947981,18
A948457,1908
A949261,1909
A929623,1262
A940645,1910
A943876,1911
A972302,1262
A981639,1262
A922769,625
A934766,1912
A952374,1913
A968985,625
A915531,1914
A936732,1915
A941861,1916
A952865,709
A974372,1917
A974644,709
A975998,1918
A937010,1919
A962977,1920
A986889,1921
A992076,1922
A916934,1923
A950897,1924
A966069,1925
A993940,1926
A997807,1927
A958872,1928
A975706,1929
A904861,274
A913556,1125
A914784,1930
A938279,1931
A947480,1125
A967920,1125
A973853,1932
A982285,274
A923664,1933
A939727,1934
A969846,1935
A915296,578
A945789,578
A953119,1936
A959910,578
A972317,578
A984062,578
A990997,578
A925524,1937
A927520,1938
A974034,1939
A974056,1940
A942028,1941
A964167,1942
A980998,1943
A906926,911
A907355,562
A912539,788
A942139,1944
A952491,911
A966166,1945
A971965,562
A994135,788
A995661,911
A908835,788
A924844,526
A925383,526
A966566,681
A988142,788
A995765,681
A947088,1946
A958231,1947
A962216,1948
A992064,1949
A922766,1195
A951181,1195
A953453,1195
A954814,1195
A965854,1950
A966938,1195
A908026,75
A910921,75
A941655,75
A942585,1951
A966891,1952
A992267,1953
A927156,75
A933945,75
A943380,75
A954135,75
A956747,75
A972278,75
A974321,75
A974405,1954
A930272,956
A931925,956
A934393,956
A944628,1955
A972412,1956
A906879,259
A944667,259
A978845,259
A987263,259
A927774,1957
A961553,543
A962551,1958
A983798,543
A985463,1959
A916466,1960
A980953,1961
A982556,1962
A913833,567
A923721,242
A942026,567
A948175,509
A954479,1339
A969358,242
A987222,1339
A991266,1339
A911973,509
A930332,1963
A951605,965
A954833,1964
A961160,509
A986223,509
A986683,965
A996888,965
A908662,964
A944314,1965
A945242,964
A967685,964
A971958,1966
A925346,518
A933258,518
A940883,518
A942972,65
A944992,518
A956380,1967
A967788,65
A978270,518
A921566,1968
A926120,1969
A954104,1970
A955498,481
A972908,481
A930266,168
A949901,168
A920211,1971
A928236,885
A948661,1972
A950941,885
A951748,1973
A962360,885
A921338,749
A932148,749
A945801,1974
A950729,749
A961554,749
A968595,749
A979490,749
A998588,1975
A907296,1095
A931408,1976
A942673,1977
A962840,1095
A975625,1095
A906864,1076
A918678,1076
A922189,1076
A943648,1049
A946935,1049
A981871,1049
A915732,1978
A924374,516
A955063,1979
A958400,516
A959647,751
A965444,516
A967941,751
A976859,516
A984405,516
A996735,751
A998584,516
A961214,514
A963429,514
A968720,1980
A957782,205
A975695,205
A997119,1981
A966767,1982
A923492,1983
A970746,52
A980704,52
A911504,214
A916501,1984
A918103,214
A926016,1985
A981165,1986
A995112,1987
A911959,1154
A936138,1154
A939554,1988
A952335,1154
A953808,677
A957918,677
A963345,1989
A979273,1990
A918633,686
A929362,1991
A965845,1992
A973741,686
A991783,1993
A996163,1994
A910604,370
A953637,370
A907641,485
A929952,1995
A946760,1996
A959123,1997
A987584,1998
A914579,1999
A998627,485
A945180,1000
A965844,1000
A971977,2000
A987968,1000
A922639,894
A940333,894
A949684,894
A971675,2001
A979276,2002
A906816,515
A911612,724
A965887,515
A990848,724
A919425,2003
A936835,2004
A938308,2005
A952544,2006
A913466,2007
A915199,303
A962302,303
A966127,2008
A905488,433
A906293,1324
A911271,2009
A920989,2010
A927544,1324
A940171,1324
A946059,2011
A949767,433
A934595,2012
A961791,216
A978624,216
A929352,400
A948256,400
A958543,2013
A945092,2014
A961327,898
A977829,898
A980917,898
A906014,21
A934325,2015
A956069,2016
A960267,2017
A987152,21
A905465,291
A963360,291
A965968,2018
A971478,2019
A995926,2020
A920496,606
A926241,2021
A965665,606
A980241,321
A987021,321
A936260,2022
A966512,2023
A973196,2024
A987054,2025
A911757,392
A948047,392
A975544,2026
A906845,2027
A922190,2028
A967035,2029
A911113,2030
A913033,409
A964750,409
A967889,624
A989373,624
A931944,901
A944345,901
A982942,901
A992099,2031
A948138,2032
A967075,1031
A971101,1031
A997622,1031
A905951,1223
A930273,43
A931622,187
A946364,1223
A979635,1223
A984675,187
A991748,1223
A914246,43
A916155,2033
A954315,2034
A964076,43
A989841,43
A923557,1043
A926082,549
A946098,730
A946744,730
A948043,2035
A957266,2036
A964140,2037
A966922,730
A967271,1043
A988660,549
A931242,2038
A982497,1043
A985400,2039
A989763,2040
A907263,2041
A907898,2042
A938926,384
A947415,2043
A984350,384
A940053,2044
A940381,192
A971987,192
A925533,1011
A954095,1011
A962512,1011
A975668,2045
A933308,2046
A955718,2047
A917801,1265
A941287,921
A943751,1293
A944277,1265
A946877,1265
A968186,1293
A984823,921
A987327,921
A987501,1293
A913847,2048
A921472,2049
A953142,2050
A936169,657
A939580,2051
A975312,2052
A986774,657
A923808,282
A945288,169
A979905,169
A988734,282
A920410,1129
A935656,836
A949031,836
A949421,2053
A955792,836
A967211,1129
A992436,1129
A916063,1167
A932249,1167
A944035,2054
A977416,1167
A984298,1181
A934780,2055
A988689,1181
A997882,1181
A953441,482
A973342,2056
A974529,482
A985419,2057
A912741,2058
A925914,412
A928282,412
A934960,628
A963769,628
A914811,106
A977611,106
A922804,2059
A944968,173
A958500,834
A960831,173
A963391,834
A966776,834
A991627,2060
A908642,1340
A912885,1048
A918290,1048
A927981,2061
A928610,1048
A929055,1340
A955644,1048
A959585,1048
A982869,1048
A990376,1340
A934282,1352
A946560,1182
A947755,1352
A951746,1182
A956110,1182
A973303,1352
A986941,2062
A921226,1182
A942522,2063
A911988,2064
A917767,2065
A937566,398
A943912,2066
A967046,107
A974896,107
A976131,2067
A982215,2068
A996710,398
A905844,336
A935630,1069
A959820,1069
A975813,336
A996807,1069
A973389,2069
A917534,2070
A924726,1091
A961947,1091
A966002,2071
A979515,1091
A912953,2072
A927155,1287
A939530,2073
A959129,1287
A959650,1375
A962434,2074
A964154,1375
A968847,1287
A982499,1375
A983903,2075
A917287,620
A943363,100
A953908,100
A959084,620
A963096,620
A975815,620
A986082,620
A904811,805
A964831,805
A971061,805
A934936,974
A953056,2076
A954488,2077
A956157,974
A966525,2078
A990947,974
A909854,2079
A922743,487
A935614,2080
A963095,2081
A998517,2082
A916431,1052
A970236,1052
A977268,1052
A931276,2083
A918175,298
A921809,2084
A955086,298
A910354,654
A953851,2085
A971962,654
A913358,2086
A925752,2087
A926220,973
A941392,973
A955627,973
A998330,2088
A916017,1102
A945209,973
A958225,1100
A961668,2089
A963363,1100
A967456,1102
A969705,1100
A975508,973
A981069,1102
A928942,856
A935668,2090
A976722,856
A993291,856
A918628,938
A946830,938
A975451,938
A975502,938
A998181,938
A906578,1256
A909295,1321
A941329,1256
A957992,305
A959665,1321
A960066,305
A962563,1256
A970073,1321
A984756,2091
A923013,2092
A970796,2093
A996631,2094
A906079,2095
A906172,1311
A907237,1311
A956709,863
A967708,1311
A971482,863
A976623,863
A917609,1002
A932292,703
A968915,1002
A974476,1002
A981626,703
A914307,2096
A925014,632
A956016,1189
A966887,632
A993384,2097
A915994,2098
A942639,1189
A968214,2099
A972901,2100
